"Rank","Player","REC","TGT","RE_YDS","Y/R","LG","20+","RE_TD","RU_ATT","RU_YDS","RU_TD","FL","G","FPTS","FPTS/G","OWN"
"171","Trent Taylor (CIN)","10","21","86","8.6","29","0","0","0","0","0","0","12","8.6","0.7","0.0%"
"172","Jake Kumerow (BUF)","1","1","22","22.0","22","0","1","0","0","0","0","6","8.2","1.4","0.1%"
"173","Pharoh Cooper (JAC)","5","8","73","14.6","32","0","0","0","0","0","0","16","7.3","0.5","0.0%"
"174","Courtland Sutton (DEN)","3","6","66","22.0","45","0","0","0","0","0","0","1","6.6","6.6","87.8%"
"175","Ashton Dulin (IND)","3","6","53","17.7","34","0","0","2","11","0","0","13","6.4","0.5","0.0%"
"176","Damion Ratley (DET)","4","10","63","15.8","29","0","0","0","0","0","0","5","6.3","1.3","0.0%"
"177","Tyrie Cleveland (DEN)","6","9","63","10.5","17","0","0","0","0","0","0","10","6.3","0.6","0.0%"
"178","Ja'Marcus Bradley (CLE)","5","11","60","12.0","22","0","0","0","0","0","0","3","6.0","2.0","0.0%"
"179","Steven Mitchell Jr. (FA)","5","8","60","12.0","20","0","0","0","0","0","0","6","6.0","1.0","0.0%"
"180","Jaydon Mickens (TB)","7","10","58","8.3","11","0","0","0","0","0","0","10","5.8","0.6","0.0%"
"181","K.J. Hill Jr. (LAC)","7","11","73","10.4","25","0","0","0","0","0","1","15","5.3","0.4","0.1%"
"182","Nick Westbrook-Ikhine (TEN)","3","8","33","11.0","19","0","0","0","0","0","0","14","5.3","0.4","0.1%"
"183","Trent Sherfield (SF)","5","7","50","10.0","26","0","0","0","0","0","0","15","5.0","0.3","0.0%"
"184","Isaiah Zuber (NE)","2","2","29","14.5","16","0","0","2","21","0","0","4","5.0","1.3","0.0%"
"185","River Cracraft (SF)","6","9","41","6.8","12","0","0","0","0","0","0","9","4.1","0.5","0.0%"
"186","Ted Ginn Jr. (FA)","3","6","40","13.3","29","0","0","0","0","0","0","5","4.0","0.8","0.0%"
"187","Riley Ridley (CHI)","4","4","39","9.8","18","0","0","0","0","0","0","5","3.9","0.8","0.1%"
"188","Juwan Johnson (NO)","4","10","39","9.8","19","0","0","0","0","0","0","7","3.9","0.6","0.1%"
"189","Robert Foster (MIA)","2","6","37","18.5","28","0","0","0","0","0","0","4","3.7","0.9","0.0%"
"190","Brandon Zylstra (CAR)","3","4","35","11.7","28","0","0","1","1","0","0","16","3.6","0.2","0.0%"
"191","Terry Godwin (JAC)","3","6","32","10.7","21","0","0","1","3","0","0","3","3.5","1.2","0.0%"
"192","Lawrence Cager (NYJ)","2","6","35","17.5","19","0","0","0","0","0","0","2","3.5","1.8","0.0%"
"193","Seth Roberts (FA)","4","6","31","7.8","12","0","0","0","0","0","0","7","3.1","0.4","0.0%"
"194","Josh Malone (NYJ)","4","6","16","4.0","13","0","0","1","12","0","0","4","2.8","0.7","0.0%"
"195","Darrius Shepherd (KC)","5","8","46","9.2","19","0","0","0","0","0","1","8","2.6","0.3","0.0%"
"196","Antonio Gandy-Golden (WAS)","1","7","3","3.0","3","0","0","1","22","0","0","6","2.5","0.4","0.2%"
"197","Daurice Fountain (KC)","2","3","23","11.5","12","0","0","0","0","0","0","5","2.3","0.5","0.0%"
"198","Penny Hart (SEA)","1","1","3","3.0","3","0","0","1","19","0","0","13","2.2","0.2","0.1%"
"199","Antonio Callaway (KC)","2","4","20","10.0","13","0","0","0","0","0","0","5","2.0","0.4","0.0%"
"200","Tommylee Lewis (NO)","1","3","5","5.0","5","0","0","2","14","0","0","5","1.9","0.4","0.0%"
"201","Deontay Burnett (FA)","3","4","19","6.3","10","0","0","0","0","0","0","2","1.9","1.0","0.0%"
"202","Donte Moncrief (HOU)","1","2","15","15.0","15","0","0","1","4","0","0","6","1.9","0.3","0.0%"
"203","John Ross (NYG)","2","7","17","8.5","15","0","0","0","0","0","0","3","1.7","0.6","0.2%"
"204","Jaleel Scott (FA)","1","1","16","16.0","16","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"205","James Proche (BAL)","1","3","14","14.0","14","0","0","0","0","0","0","14","1.4","0.1","0.1%"
"206","Keith Kirkwood (CAR)","1","2","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"207","Vyncint Smith (NYJ)","1","3","13","13.0","13","0","0","0","0","0","0","7","1.3","0.2","0.0%"
"208","Cody Hollister (TEN)","1","1","12","12.0","12","0","0","0","0","0","0","2","1.2","0.6","0.0%"
"209","Bennie Fowler III (SF)","2","6","11","5.5","7","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"210","Marcus Kemp (KC)","1","1","11","11.0","11","0","0","0","0","0","0","10","1.1","0.1","0.0%"
"211","Gehrig Dieter (KC)","1","2","10","10.0","10","0","0","0","0","0","0","4","1.0","0.3","0.0%"
"212","Trenton Irwin (CIN)","1","2","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.0%"
"213","JoJo Natson (CLE)","0","0","0","0","0","0","0","1","3","0","0","3","0.3","0.1","0.0%"
"214","Trishton Jackson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","K.J. Osborn (MIN)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.1%"
"216","Aaron Parker (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Manasseh Bailey (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Michael Walker (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Chris Finke (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Omar Bayless (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Cody White (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"224","Binjimen Victor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Jauan Jennings (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Trinity Benson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Dezmon Patmon (IND)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Quartney Davis (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Rondale Moore (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.9%"
"230","Tyler Simmons (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Michael Dereus (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Jaylon Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Scotty Washington (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
