RANK,TIER,PLAYER NAME,TEAM,POS,BYE,SOS_SEASON,ECR VS. ADP
527,16,Marquise Goodwin,SEA,WR180,11,4 out of 5 stars,-173
528,16,Eddy Pineiro,NYJ,K41,10,0 out of 5 stars,-
529,16,Cyril Grayson Jr.,TB,WR181,11,4 out of 5 stars,-
530,16,Jerrion Ealy,KC,RB144,8,3 out of 5 stars,-198
531,16,Andy Dalton,NO,QB49,14,3 out of 5 stars,-145
532,16,Ross Dwelley,SF,TE85,9,4 out of 5 stars,-
533,16,Ray-Ray McCloud,SF,WR182,9,3 out of 5 stars,-
534,16,Cole Turner,WAS,TE86,14,4 out of 5 stars,-
535,16,Zonovan Knight,NYJ,RB145,10,4 out of 5 stars,-
536,16,Jaelon Darden,TB,WR183,11,4 out of 5 stars,-196
537,16,La'Mical Perine,NYJ,RB146,10,4 out of 5 stars,-
538,16,Julius Chestnut,TEN,RB147,6,4 out of 5 stars,-
539,16,C.J. Ham,MIN,RB148,7,4 out of 5 stars,-
540,16,Taylor Heinicke,WAS,QB50,14,4 out of 5 stars,-
541,16,Sincere McCormick,LV,RB149,6,2 out of 5 stars,-
542,16,Carlos Martinez,DAL,K42,9,5 out of 5 stars,-
543,16,Johnny Mundt,MIN,TE87,7,3 out of 5 stars,-
544,16,Rico Dowdle,DAL,RB150,9,4 out of 5 stars,-
545,16,Jakob Johnson,LV,RB151,6,2 out of 5 stars,-
546,16,Case Keenum,BUF,QB51,7,3 out of 5 stars,-
547,16,Gary Brightwell,NYG,RB152,9,3 out of 5 stars,-
548,16,Keith Smith,ATL,RB153,14,1 out of 5 stars,-
549,16,Josh Gordon,KC,WR184,8,2 out of 5 stars,-208
550,16,Brock Wright,DET,TE88,6,4 out of 5 stars,-
551,16,Godwin Igwebuike,DET,RB154,6,4 out of 5 stars,-
552,16,Mason Rudolph,PIT,QB52,9,3 out of 5 stars,-
553,16,DeSean Jackson,FA,WR185,-,-,-
